Name of Library ,Type of Library ,Number of works ,Links to Omeka Items,Location,Area,ISIL Code ,Alphabetica: Library History,Library website ,Latitude,Longitude
Biblioteca delle Arti e Dello Spettacolo -  Fondazione Franco Zeffirelli,Istituto di insegnamento superiore,1,,Firenze (FI),Centre,,,https://www.fondazionefrancozeffirelli.com/,43.7696716,11.2552333
Biblioteca di Filosofia e scienze umane del Dipartimento di Studi umanistici dell'Università degli studi di Macerata,Istituto di insegnamento superiore,1,,Macerata (MC),Centre,IT-MC0168,,,43.300964,13.449812
Biblioteca di scienze sociali dell'Università degli studi di Firenze,NON SPECIFICATA,1,,Firenze (FI),Centre,IT-FI0597,,http://www.sba.unifi.it/scienzesociali,43.792695,11.2306268
Biblioteca diocesana di Livorno,Importante non specializzata; biblioteca ecclesiastica,1,,Livorno (LI),Centre,,,http://www.diocesilivorno.it,43.5533869,10.3177386
Biblioteca diocesana Mastai Ferretti,Specializzata,1,,Senigallia (AN),Centre,IT-AN0089,,,43.7147744,13.217499
Biblioteca Fondazione Maria e Goffredo Bellonci,Specializzata,1,,Roma (RM),Centre,IT-RM1469,,www.fondazionebellonci.it,41.9235488,12.4961963
Biblioteca Fratelli Pellegrini,,1,,Borgo a Mozzano (LU),Centre,,,,,
Biblioteca Genti D'Abruzzo,Specializzata,1,,Pescara (PE),Centre,IT-PE0066,,http://www.gentidabruzzo.it/servizi/biblioteca.htm,42.4611035,14.2110977
Biblioteca interdipartimentale di Scienze giuridiche   Sapienza Università di Roma,Istituto di insegnamento superiore,1,,Roma (RM),Centre,,,,41.9017582,12.5120975
Biblioteca Melchiorre Dèlfico,Pubblica,1,,Teramo (TE),Centre,,,http://www.provincia.teramo.it/biblioteca,42.6596564,13.7009381
Biblioteca Poggiana,,1,,Montevarchi (AR),Centre,,,http://www.accademiadelpoggio.it/i-settori/biblioteca-poggiana/orari-e-contatti/,43.5242043,11.5671351
"Biblioteca interfacoltà Ettore Paratore di Lettere e filosofia, di Psicologia, di Scienze sociali e di Scienze della formazione dell'Università degli studi G. D'Annunzio di Chieti",,1,,Chieti (CH),Centre,,,,42.3666835,14.1547115
Biblioteca Porziuncola,Specializzata,1,,Assisi (PG),Centre,IT-PG0179,,,43.0701666,12.6175185
Biblioteca statale Antonio Baldini,Importante non specializzata,1,,Roma (RM),Centre,IT-RM0289,,http://www.bibliotecabaldini.beniculturali.it,41.9195494,12.4860245
Biblioteca statale del Monumento nazionale di S. Scolastica,Specializzata,1,,Subiaco (RM),Centre,IT-RM0602,,http://www.scolastica.librari.beniculturali.it/,41.9244778,13.1053018
"Biblioteca Umanistica - Lettere,  Università degli studi di Firenze",Istituto di insegnamento superiore,1,,Firenze (FI),Centre,,,http://www.sba.unifi.it/CMpro-v-p-385.html,43.7745492,11.2599716
Biblioteca regionale universitaria,Importante non specializzata,1,,South and the Islands,Catania (CT),IT-CT0062,,http://www.apt.catania.it/aptctnew/Musei/Musei_catania/Biblioteca_regionale/Biblioteca_Regionale.htm,37.503929,15.08735
Biblioteca regionale universitaria,Importante non specializzata,1,,South and the Islands,Catania (CT),IT-ME0050,,http://www.regione.sicilia.it/beniculturali/dirbenicult/biblioteche/biblioteche.html#bibliome,38.1902096,15.5562408
Biblioteca della Società di storia patria per la Sicilia orientale dell'Università degli studi di Catania,Specializzata,1,,South and the Islands,Catania (CT),,,,37.5075437,15.0857403
Biblioteca comunale Simone Corleo,Importante non specializzata,1,,South and the Islands,Salemi (TP),IT-TP0019,,,37.816856,12.8012859
Biblioteca diocesana Giovanni Biagio Amico,Importante non specializzata,1,,South and the Islands,Erice (TP),IT-TP0031,,,38.0284481,12.5487659
Biblioteca del Museo Archeologico Regionale 'Antonino Salinas',Specializzata,1,,South and the Islands,Palermo (PA),,,,38.1210761,13.3610162
Biblioteca centrale della Regione siciliana Alberto Bombace,Importante non specializzata,1,,South and the Islands,Palermo (PA),IT-PA0064,,http://www.regione.sicilia.it/beniculturali/bibliotecacentrale/menu.html,38.1143548,13.358177
Biblioteca comunale Pietro De Nava,Importante non specializzata,4,,South and the Islands,Reggio di Calabria (RC),IT-RC0058,,http://www.reggiocal.it,38.1152547,15.652736
Biblioteca della Galleria regionale di Palazzo Abatellis,Specializzata,1,,South and the Islands,Palermo (PA),,,,38.116568,13.3706706
Biblioteca Etnografica Giuseppe Pitré,Specializzata,2,,South and the Islands,Palermo (PA),IT-PA0087,,http://librarsi.comune.palermo.it/librarsi/export/bibliopitre/biblioteca/index.html,38.167551,13.329499
Biblioteca Painiana del Seminario Arcivescovile S. Pio X,Specializzata; enti ecclesiastici,1,,South and the Islands,Messina (ME),,,,38.2097379,15.5485213
Biblioteca universitaria di Cagliari,Importante non specializzata,2,,South and the Islands,Cagliari (CA),IT-CA0194,,http://www.sardegnabiblioteche.it/j/v/110?s=4102&v=2&c=1502&t=1,39.217829,9.1149418
Biblioteca comunale di Pirri,Importante non specializzata,2,,South and the Islands,Cagliari (CA),IT-CA0240,,http://www.comune.cagliari.it/portale/it/is_bingias.wp,39.2520327,9.1256147
Biblioteca civica di CosenzA,,3,,South and the Islands,Cosenza (CS),,,http://www.bibliotecacivica.cs.it/,39.28648,16.261466
Biblioteca nazionale di Cosenza,Importante non specializzata,1,,South and the Islands,Cosenza (CS),,,http://www.bncs.beniculturali.it,39.2886654,16.2608337
Biblioteca Ss. Crocifisso dei Frati Minori Cappuccini di Calabria,Specializzata,1,,South and the Islands,Cosenza (CS),,,,39.3353742,16.2436468
Biblioteca comunale Pietro Siciliani,Pubblica,1,,South and the Islands,Galatina (LE),IT-LE0209,,,40.1748454,18.1678939
Biblioteca Roberto Caracciolo,Specializzata,2,,South and the Islands,Lecce (LE),IT-LE0097,,http://www.bibliotecacaracciolo.it/,40.3554289,18.1784527
Biblioteca comunale Marco Gatti,Importante non specializzata,1,,South and the Islands,Manduria (TA),IT-TA0008,,,40.3992789,17.635471
Biblioteca Apulia,,1,,South and the Islands,Manduria (TA),,,,,
Biblioteca civica Pietro Acclavio,Importante non specializzata,1,,South and the Islands,Taranto (TA),IT-TA0021,,http://www.comune.taranto.it/biblioteca/biblioteca.htm,40.4634933,17.2601779
Biblioteca comunale Giuseppe Melli,Importante non specializzata,2,,South and the Islands,San Pietro Vernotico (BR),IT-BR0016,,,40.4857843,18.0005058
Polo Bibliomuseale Biblioteca,,1,,South and the Islands,Brindisi (BR),,,,40.632424,17.9357697
Biblioteca pubblica arcivescovile Annibale De Leo,Importante non specializzata,1,,South and the Islands,Brindisi (BR),IT-BR0002,,http://www.brindisiweb.com/arcidiocesi/enti/index.html,40.6400025,17.9448064
Biblioteca nazionale di Potenza,,1,,South and the Islands,Potenza (PZ),,,www.bnpz.beniculturali.it,40.634306,15.7863841
BIBLIOTECA PROVINCIALE DI SALERNO,,1,,South and the Islands,Salerno (SA),,,,40.6853093,14.7655308
Biblioteca comunale Gaetano Filangieri,Pubblica,10,,South and the Islands,Castellammare di Stabia (NA),IT-NA0012,,http://www.comune.castellammare-di-stabia.napoli.it/istituzionale/sezioni-della-biblioteca-comunale/index-237.aspx,40.6990355,14.4827212
Biblioteca Universitaria di Sassari,Importante non specializzata,5,,South and the Islands,Sassari (SS),IT-SS0073,,,40.7248271,8.5602535
Biblioteca dell'Abbazia di San Michele Arcangelo,Specializzata,1,,South and the Islands,Procida (NA),IT-NA0191,,http://www.abbaziasanmichele.it/biblioteca.htm,40.7613181,14.0337205
Biblioteca nazionale Vittorio Emanuele III,Importante non specializzata,9,,South and the Islands,Napoli (NA),IT-NA0079,,http://www.bnnonline.it,40.8354147,14.2494853
Biblioteca della Società napoletana di storia patria,Specializzata,1,,South and the Islands,Napoli (NA),IT-NA0097,,http://www.storiapatrianapoli.it,40.8389412,14.2515171
Biblioteca Accademia Pontaniana,Biblioteca pubblica,4,,South and the Islands,Napoli (NA),,,http://www.pontaniana.unina.it/italiano/bibliot.htm,40.846613,14.2560637
Biblioteca universitaria di Napoli,Importante non specializzata,3,,South and the Islands,Napoli (NA),IT-NA0070,,http://www.bibliotecauniversitarianapoli.beniculturali.it/,40.8474351,14.2568737
Fondazione Biblioteca Benedetto Croce,Importante non specializzata,4,,South and the Islands,Napoli (NA),,,http://www.fondazionebenedettocroce.it,40.8478199,14.2534204
Biblioteca dell'Istituto italiano per gli studi storici,Specializzata,2,,South and the Islands,Napoli (NA),IT-NA0120,,http://www.iiss.it,40.8478199,14.2534204
Biblioteca comunale Imbriani Poerio,,3,,South and the Islands,Pomigliano d'Arco (NA),,,,42.6386669,11.232286
Biblioteca Provinciale Giulio e Scipione Capone,Biblioteca pubblica,1,,South and the Islands,Avellino (AV),,,http://www.mediateca.avellino.it,40.9126536,14.7874214
Biblioteca Pubblica Statale annessa al Monumento nazionale di Montevergine,Specializzata,1,,South and the Islands,Mercogliano (AV),IT-AV0045,,www.bibliotecastataledimontevergine.beniculturali.it,40.9199555,14.7487263
Biblioteca comunale di Casamassima,Biblioteca comunale ,4,,South and the Islands,Casamassima (BA),,,http://www.comune.casamassima.ba.it/,40.9554505,16.9170492
Biblioteca Seminariale Paolo VI,Istituto di insegnamento superiore,1,,South and the Islands,Aversa (CE),IT-CE0069,,,40.9773537,14.2032705
Biblioteca del Museo etnografico Beniamino Tartaglia,,1,,South and the Islands,Aquilonia (AV),,,https://www.museomeda.it/la-biblioteca/,40.9883975,15.4745763
Biblioteca comunale Giuseppe Tescione,Pubblica,1,,South and the Islands,Caserta (CE),IT-CE0127,,http://www.comune.caserta.it,41.0728235,14.3312895
Biblioteca provinciale S. Teresa dei Maschi - De Gemmis,Importante non specializzata,1,,South and the Islands,Bari (BA),,,,41.1277815,16.8698309
Biblioteca nazionale Sagarriga Visconti-Volpi,Importante non specializzata,10,,South and the Islands,Bari (BA),,,http://www.bibliotechepubbliche.it/moduli/biblpubbl/biblioteca.jsp?s=2&idIstitutoUfficio=26,41.1287237,16.8469765
Biblioteca provinciale Antonio Mellusi,Pubblica,2,,South and the Islands,Benevento (BN),IT-BN0015,,www.provincia.benevento.it,41.1306507,14.7796161
Biblioteca del Seminario vescovile,Importante non specializzata,1,,South and the Islands,Molfetta (BA),IT-BA0103,,,41.2034495,16.6004026
Biblioteca del Seminario vescovile,Specializzata,1,,South and the Islands,Molfetta (BA),IT-BL0026,,,46.0033455,11.8862191
Biblioteca provinciale La Magna Capitana,Importante non specializzata,8,,South and the Islands,Foggia (FG),IT-FG0046,,http://www.bibliotecaprovinciale.foggia.it,41.455851,15.559343
Biblioteca del Seminario vescovile di Lucera,Importante non specializzata,1,,South and the Islands,Lucera (FG),IT-FG0055,,http://www.diocesiluceratroia.it,41.5074826,15.3339503
Biblioteca p. Dionisio Piccirilli,Specializzata,1,,South and the Islands,Campobasso (CB),IT-CB0101,,,41.5576813,14.6737792
Biblioteca Pasquale Albino,,1,,South and the Islands,Campobasso (CB),,,,,
Biblioteca dell'Archivio di Stato di Campobasso,Specializzata,1,,South and the Islands,Campobasso (CB),IT-CB0009,,,41.5620263,14.6599629
